name,latitude,longitude
FamilyMart - Sài Gòn Sky Garden,10.7812350412161,106.704907715321
FamilyMart - Zen Plaza,10.7706496175836,106.692134365439
FamilyMart - 138 Lý Chính Thắng,10.7874302018364,106.684729792178
FamilyMart - 58 Pasteur,10.7715504421039,106.702325418591
FamilyMart - Nguyễn Khắc Nhu,10.7636906606908,106.693170856873
FamilyMart - 259 Hòa Hảo,10.7621883230045,106.670088618994
FamilyMart - 72/2B Tôn Đản,10.7607159959341,106.706992462277
FamilyMart - 629 Bình Thới,10.7627433258617,106.642330773175
FamilyMart - 508 Nguyễn Thái Sơn,10.8273623729068,106.690501235425
FamilyMart - BS10 - The Tropical,10.8467754041188,106.842974424362
FamilyMart - BS8 - The Tropical,10.846230105896,106.84148311615
FamilyMart - 249A Hoàng Văn Thụ,10.8002120516876,106.665530875325
FamilyMart - 204C Nguyễn Văn Hưởng,10.8136120442276,106.732839605834
FamilyMart - 11 Kỳ Đồng,10.7837335408036,106.682813689113
FamilyMart - 26D Lê Hồng Phong (VT),10.3520933528175,107.088878676295
FamilyMart - Landmark 1,10.7936762832152,106.722294464707
FamilyMart - 7 Vĩnh Hội,10.7562251892706,106.702597998083
FamilyMart - 166 Trần Văn Ơn (BD),10.9791900842358,106.675881519914
FamilyMart - 151 Lê Văn Chí,10.8607605147419,106.778810620308
FamilyMart - Swanbay (ĐN),10.7546132918285,106.365095188774
FamilyMart - 307A Nguyễn Thị Nhỏ,10.757835879417,106.651144176722
FamilyMart - Picity 2,10.8656349977474,106.665143966675
FamilyMart - 131 Độc Lập,10.7924392631151,106.631204970181
FamilyMart - Landmark 6,10.7957615084281,106.721295519357
FamilyMart - 59 Bờ Bao Tân Thắng,10.805204103963,106.62221621722
FamilyMart - 132 Nguyễn Kim,10.7633704613915,106.661883741617
FamilyMart - 01 Bình Chiểu,10.8730763003096,106.732707470655
FamilyMart - 103 Lê Văn Thịnh,10.7839061229248,106.769207976758
FamilyMart - S7.03 - Origami,10.8447891439712,106.837170794606
FamilyMart - 198 Phan Đình Phùng (ĐN),10.9506714149426,106.817836761475
FamilyMart - A2 Trần Quốc Toản (ĐN),10.9384069036225,106.859892457724
FamilyMart - Ô 18 Đường 30/4,11.0561466423097,106.684442460537
FamilyMart - 164 Nguyễn Ảnh Thủ,10.8736666576507,106.621482297778
FamilyMart - 201 Nguyễn Khuyến (ĐN),10.9845168278145,106.868252232671
FamilyMart - Delasol,10.7532251324234,106.692639291286
FamilyMart - 132 Trần Tuấn Khải,10.7523687207348,106.674073040485
FamilyMart - 01/01 Tô Ký,10.8704119402065,106.614940054715
FamilyMart - S10.03 Origami,10.8465910038649,106.839297115803
FamilyMart - 163 Trường Chinh,10.8311903069945,106.622331818748
FamilyMart - Q7 Saigon Riverside,10.7221977634477,106.742820739746
FamilyMart - S6.01 Origami,10.8417583595336,106.838299334049
FamilyMart - 77 Lý Chính Thắng,10.7896216969992,106.685898900032
FamilyMart - 128 Phó Cơ Điều,10.7592640833609,106.657281070948
FamilyMart - Eco Green Tháp E,10.747484821933,106.723239272833
FamilyMart - KĐT Mỹ Phước 2 (BD),11.1393227817303,106.608981192112
FamilyMart - Compass One (BD),10.9703584845484,106.667158305645
FamilyMart - 111 Hoàng Văn Thụ (BD),10.9703584845484,106.667158305645
FamilyMart - Kim Long Villa,10.7215534124085,106.70207798481
FamilyMart - Park 6B - Vinhome Central Park,10.7925904327774,106.721625588834
FamilyMart - Sarina,10.7735385045264,106.726960837841
FamilyMart - Empire City,10.7689800384328,106.713498830795
FamilyMart - S1.07 - Vinhome Grand Park,10.837334623617,106.831657513976
FamilyMart - 126 Hoàng Hoa Thám (BD),10.9917688648362,106.662813797593
FamilyMart - Greenriver,10.7330149147627,106.644299057498
FamilyMart - Diamond Riverside,10.7304174012704,106.624470949173
FamilyMart - 625A Nguyễn Ảnh Thủ,10.8587901526356,106.609675884247
FamilyMart - Phú Lợi (BD),10.9839691492692,106.667197197676
FamilyMart - Eco Green,10.7488249769819,106.723167827702
FamilyMart - Sala 2,10.7735385045264,106.726960837841
FamilyMart - Kdc Vạn Phúc,10.8438361822482,106.712536588311
FamilyMart - Becamex New City Hotel (BD),11.0561473004163,106.684442460537
FamilyMart - Vietjet Plaza,10.8133345362598,106.665926501155
FamilyMart - 58 Trương Công Định,10.3451881962167,107.080183625221
FamilyMart - The Emporium,10.764848374887,106.655525565147
FamilyMart - Nguyễn An Ninh (BD),10.8925136869518,106.767440736294
FamilyMart - 6 Hoàng Hoa Thám (VT),10.3414499285428,107.077752873302
FamilyMart - 816 Trần Phú (VT),10.3712294157509,107.076614472097
FamilyMart - 148 Hoàng Hoa Thám (VT),10.3356811539358,107.086516320705
FamilyMart - 171 Nam Kỳ Khởi Nghĩa (VT),10.3517983748198,107.086990684231
FamilyMart - 48 Đồ Chiểu (VT),10.349413895688,107.078094184399
